inspection_date,year,month,month_name,day,day_name,quarter
02/11/2016,2016,2,February,11,Thursday,1
11/15/2016,2016,11,November,15,Tuesday,4
02/13/2020,2020,2,February,13,Thursday,1
09/22/2017,2017,9,September,22,Friday,3
11/24/2017,2017,11,November,24,Friday,4
09/14/2017,2017,9,September,14,Thursday,3
03/02/2016,2016,3,March,2,Wednesday,1
05/22/2016,2016,5,May,22,Sunday,2
04/29/2017,2017,4,April,29,Saturday,2
10/23/2019,2019,10,October,23,Wednesday,4
10/20/2017,2017,10,October,20,Friday,4
07/17/2017,2017,7,July,17,Monday,3
12/13/2017,2017,12,December,13,Wednesday,4
04/23/2019,2019,4,April,23,Tuesday,2
09/17/2016,2016,9,September,17,Saturday,3
03/09/2016,2016,3,March,9,Wednesday,1
03/10/2020,2020,3,March,10,Tuesday,1
09/11/2019,2019,9,September,11,Wednesday,3
02/15/2018,2018,2,February,15,Thursday,1
