inspection_date,year,month,month_name,day,day_name,quarter
03/06/2017,2017,3,March,6,Monday,1
07/18/2018,2018,7,July,18,Wednesday,3
08/07/2017,2017,8,August,7,Monday,3
07/22/2016,2016,7,July,22,Friday,3
05/25/2016,2016,5,May,25,Wednesday,2
07/19/2018,2018,7,July,19,Thursday,3
01/30/2017,2017,1,January,30,Monday,1
10/13/2017,2017,10,October,13,Friday,4
05/03/2018,2018,5,May,3,Thursday,2
08/29/2018,2018,8,August,29,Wednesday,3
11/03/2017,2017,11,November,3,Friday,4
02/02/2017,2017,2,February,2,Thursday,1
04/01/2016,2016,4,April,1,Friday,2
01/14/2019,2019,1,January,14,Monday,1
10/04/2018,2018,10,October,4,Thursday,4
12/03/2019,2019,12,December,3,Tuesday,4
08/03/2017,2017,8,August,3,Thursday,3
02/03/2018,2018,2,February,3,Saturday,1
03/03/2017,2017,3,March,3,Friday,1
10/11/2019,2019,10,October,11,Friday,4
02/15/2019,2019,2,February,15,Friday,1
01/10/2017,2017,1,January,10,Tuesday,1
03/23/2019,2019,3,March,23,Saturday,1
01/31/2019,2019,1,January,31,Thursday,1
06/13/2016,2016,6,June,13,Monday,2
12/17/2017,2017,12,December,17,Sunday,4
11/06/2019,2019,11,November,6,Wednesday,4
10/18/2019,2019,10,October,18,Friday,4
05/30/2018,2018,5,May,30,Wednesday,2
01/05/2017,2017,1,January,5,Thursday,1
02/09/2018,2018,2,February,9,Friday,1
09/11/2018,2018,9,September,11,Tuesday,3
06/09/2018,2018,6,June,9,Saturday,2
09/10/2016,2016,9,September,10,Saturday,3
01/06/2020,2020,1,January,6,Monday,1
12/24/2018,2018,12,December,24,Monday,4
01/27/2020,2020,1,January,27,Monday,1
01/30/2018,2018,1,January,30,Tuesday,1
02/06/2019,2019,2,February,6,Wednesday,1
08/01/2017,2017,8,August,1,Tuesday,3
12/04/2019,2019,12,December,4,Wednesday,4
02/21/2019,2019,2,February,21,Thursday,1
09/21/2017,2017,9,September,21,Thursday,3
01/18/2017,2017,1,January,18,Wednesday,1
12/23/2015,2015,12,December,23,Wednesday,4
03/04/2019,2019,3,March,4,Monday,1
12/05/2018,2018,12,December,5,Wednesday,4
08/26/2016,2016,8,August,26,Friday,3
03/13/2018,2018,3,March,13,Tuesday,1
11/27/2018,2018,11,November,27,Tuesday,4
10/26/2019,2019,10,October,26,Saturday,4
11/08/2018,2018,11,November,8,Thursday,4
04/27/2016,2016,4,April,27,Wednesday,2
06/03/2018,2018,6,June,3,Sunday,2
03/05/2016,2016,3,March,5,Saturday,1
02/17/2019,2019,2,February,17,Sunday,1
06/20/2019,2019,6,June,20,Thursday,2
05/17/2016,2016,5,May,17,Tuesday,2
01/13/2018,2018,1,January,13,Saturday,1
01/05/2019,2019,1,January,5,Saturday,1
06/18/2017,2017,6,June,18,Sunday,2
06/03/2017,2017,6,June,3,Saturday,2
11/18/2018,2018,11,November,18,Sunday,4
06/14/2016,2016,6,June,14,Tuesday,2
10/25/2017,2017,10,October,25,Wednesday,4
06/05/2019,2019,6,June,5,Wednesday,2
02/20/2019,2019,2,February,20,Wednesday,1
03/09/2019,2019,3,March,9,Saturday,1
07/01/2016,2016,7,July,1,Friday,3
05/30/2016,2016,5,May,30,Monday,2
11/09/2018,2018,11,November,9,Friday,4
04/24/2018,2018,4,April,24,Tuesday,2
09/04/2018,2018,9,September,4,Tuesday,3
11/24/2018,2018,11,November,24,Saturday,4
05/29/2019,2019,5,May,29,Wednesday,2
06/16/2017,2017,6,June,16,Friday,2
11/02/2016,2016,11,November,2,Wednesday,4
07/15/2016,2016,7,July,15,Friday,3
03/30/2016,2016,3,March,30,Wednesday,1
07/29/2015,2015,7,July,29,Wednesday,3
01/21/2020,2020,1,January,21,Tuesday,1
06/08/2016,2016,6,June,8,Wednesday,2
11/25/2017,2017,11,November,25,Saturday,4
04/21/2014,2014,4,April,21,Monday,2
06/22/2016,2016,6,June,22,Wednesday,2
07/27/2019,2019,7,July,27,Saturday,3
12/16/2017,2017,12,December,16,Saturday,4
10/17/2016,2016,10,October,17,Monday,4
05/03/2016,2016,5,May,3,Tuesday,2
11/29/2019,2019,11,November,29,Friday,4
03/18/2016,2016,3,March,18,Friday,1
02/09/2020,2020,2,February,9,Sunday,1
02/19/2016,2016,2,February,19,Friday,1
05/17/2019,2019,5,May,17,Friday,2
10/02/2018,2018,10,October,2,Tuesday,4
01/30/2020,2020,1,January,30,Thursday,1
08/31/2018,2018,8,August,31,Friday,3
02/20/2018,2018,2,February,20,Tuesday,1
