id_geography,zipcode,id_borough,building,street,latitude,longitude
17277,11106,4,25-27,BROADWAY,40.7633079547,-73.92819546732
11446,11374,4,9734,63 ROAD,40.731235835358,-73.860212759238
16157,10112,1,30,ROCKEFELLER PLAZA,40.758747437799,-73.978692223615
7237,11385,4,679,SENECA AVENUE,40.703131194602,-73.908225700854
21483,10461,2,3039,BUHRE AVENUE,40.847437069993,-73.83110231601
22585,10463,2,124,WEST  238 STREET,40.88330150061,-73.897759580633
5322,11434,4,12701,MERRICK BLVD,40.681529534431,-73.765371047756
11631,11375,4,64-05,108 STREET,40.732762100863,-73.849503885151
686,11223,3,2650C,CONEY ISLAND AVENUE,40.592115616554,-73.960731747329
5454,11238,3,900,FULTON STREET,40.683103826457,-73.965156044334
22386,10468,2,2958,JEROME AVENUE,40.872767958441,-73.889629288265
11067,10003,1,12,SAINT MARKS PLACE,40.729198789009,-73.989114527273
21203,10452,2,19,WEST  170 STREET,40.840340726441,-73.917999756594
1195,11214,3,8411,18 AVENUE,40.608256200073,-74.001390172729
0,null,4,1200406,ROCKAWAY BLVD,0,0
20380,10465,2,4112,EAST TREMONT AVENUE,40.818691786523,-73.817038183416
2272,11209,3,7302,3 AVENUE,40.632719965457,-74.027287676331
10732,11374,4,98-108,QUEENS BOULEVARD,40.727237885744,-73.85453866675
11741,11374,4,6135,JUNCTION BLVD,40.733428169799,-73.864170033452
8329,11379,4,72-60,METROPOLITAN AVENUE,40.712659524605,-73.8798495165
15137,10017,1,757,3 AVENUE,40.754027772142,-73.972056060847
22778,10466,2,4466,BAYCHESTER AVENUE,40.901412337671,-73.846892197665
7204,11237,3,236,KNICKERBOCKER AVENUE,40.702915970307,-73.925602688528
6115,11201,3,151,ATLANTIC AVENUE,40.690443053672,-73.995092315563
22547,10469,2,3762,BOSTON ROAD,40.880989666233,-73.839442778397
16949,10065,1,1149,1 AVENUE,40.761962134319,-73.960252193945
3434,11203,3,4324,CHURCH AVENUE,40.651419721938,-73.936832188809
10240,10012,1,69,THOMPSON STREET,40.724352007366,-74.003073830174
9344,10013,1,81,HUDSON STREET,40.718513586926,-74.00885271823
2161,11209,3,7319,5 AVENUE,40.630794248541,-74.022088182803
10135,10009,1,12,1 AVENUE,40.723357851029,-73.988347038953
4919,11420,4,11445,LEFFERTS BLVD,40.677931261106,-73.820090140859
18041,11103,4,2512,STEINWAY STREET,40.767578504673,-73.912003004071
20479,10451,2,632,WALTON AVENUE,40.821331472276,-73.927370260806
20778,10451,2,1,EAST  161 STREET,40.829028434834,-73.928496459645
2795,11218,3,1118,CORTELYOU ROAD,40.639745295786,-73.967668576794
10544,10012,1,192,MERCER STREET,40.726339223675,-73.997135335426
5626,11419,4,11105,LIBERTY AVE,40.68480703551,-73.830974977951
21035,10461,2,3233,EAST TREMONT AVENUE,40.835816181281,-73.833217126245
17226,10019,1,311,WEST   51 STREET,40.7631374512,-73.986170507874
12235,10003,1,239,PARK AVENUE SOUTH,40.737924286365,-73.988016106288
3498,11239,3,448,GATEWAY DRIVE,40.652787375036,-73.876959313735
15174,11377,4,6911,NORTHERN BLVD,40.754306338769,-73.897283372662
5127,11217,3,263,FLATBUSH AVENUE,40.679936058477,-73.974445138877
9021,11249,3,103,NORTH    3 STREET,40.716792178083,-73.962075706378
20554,10451,2,3240,3 AVENUE,40.823843412413,-73.908824574067
22426,10468,2,250,BEDFORD PARK BLVD WEST,40.875021689755,-73.892858229156
12629,11373,4,83-05,BROADWAY,40.740999294431,-73.879881212866
13828,10001,1,236,9 AVENUE,40.747358659306,-74.000678498132
820,10305,5,1201,HYLAN BOULEVARD,40.598095023382,-74.083123962959
16249,10036,1,358,WEST   44 STREET,40.759193669729,-73.990452406045
2713,10301,5,3,CORSON AVENUE,40.63825413729,-74.079030603954
12007,11101,4,52-50,VAN DAM STREET,40.735876279729,-73.936621911316
12752,10011,1,76,9 AVENUE,40.741907469119,-74.004658878425
12984,11373,4,4206,77TH ST,40.743164819528,-73.887924934808
20486,10451,2,610,EXTERIOR STREET,40.821737103048,-73.930860054782
16215,11354,4,135-02,ROOSEVELT AVENUE,40.759037589792,-73.831612499712
9926,10012,1,212,LAFAYETTE STREET,40.721774687105,-73.997590095253
3157,11232,3,4222,8 AVENUE,40.645426063739,-73.999239661964
15765,10017,1,422,MADISON AVENUE,40.756918956059,-73.976285239113
733,11229,3,3682A,NOSTRAND AVENUE,40.594291852423,-73.940717614927
1084,11223,3,1869,EAST    3 STREET,40.604947584235,-73.970109171348
18550,10028,1,1588,YORK AVENUE,40.7743965772,-73.948225375305
1708,11228,3,1272,BAY RIDGE PARKWAY,40.620736454628,-74.008173300473
7153,11201,3,80,FRONT STREET,40.702500453669,-73.989403824533
9381,11375,4,109-32,ASCAN AVENUE,40.718748570733,-73.840293278717
4963,11233,3,2017,FULTON STREET,40.678454686599,-73.914039072106
3821,11225,3,363,LINCOLN ROAD,40.661598505715,-73.950292064313
6884,11221,3,187,SUYDAM STREET,40.700012129513,-73.925800690435
18824,10028,1,322,EAST   86 STREET,40.777554272404,-73.951021184625
0,null,1,2115,FREDERICK DOUGLASS BOULEVARD,0,0
10831,10009,1,134,1 AVENUE,40.727669518523,-73.98521817883
837,11229,3,1217,AVENUE U,40.598485863559,-73.95956847892
7803,11237,3,1237,FLUSHING AVENUE,40.708000639734,-73.923486958272
16848,11355,4,4149,150 STREET,40.761515405866,-73.813409158444
13984,11101,4,21-50,44 DRIVE,40.748013369495,-73.946939475755
8381,11211,3,296,GRAND STREET,40.712978079064,-73.957471536068
5284,11216,3,516,NOSTRAND AVENUE,40.681228919588,-73.949758192038
11158,10014,1,10,DOWNING STREET,40.729589027438,-74.002825116086
18983,11360,4,2390,BELL BOULEVARD,40.779911255442,-73.775353595063
22364,10467,2,727,BURKE AVENUE,40.871419633272,-73.865785363035
20304,10030,1,300,WEST  135 STREET,40.816516772708,-73.946620913128
9699,10002,1,152,STANTON STREET,40.720530409068,-73.985443437944
1445,10305,5,1189,BAY STREET,40.614377077489,-74.066338239826
12822,11373,4,9462,CORONA AVE,40.742286201217,-73.869474827199
2676,11218,3,805,CONEY ISLAND AVENUE,40.637769243149,-73.968350520581
14753,10018,1,107,WEST   37 STREET,40.751930690046,-73.986941620315
19306,10029,1,1504,LEXINGTON AVENUE,40.786633639113,-73.950375302618
0,null,4,000,126TH ST  & ROOSEVELT AVENUE,0,0
12320,10011,1,574,6 AVENUE,40.738808648069,-73.99576715008
5040,11413,4,134-41,SPRINGFIELD BOULEVARD,40.679136829986,-73.753946965123
